Login,Role,Standard Role,Role Base Name,Role Group
aajordao,Developer Master,Developer - Master,Developer,5 - Master / Manager
aalbuquerque,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
aalessandro,Product Lead,UX Specialist - Sr,UX Specialist,4 - Senior
aalice,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
aaluizio,Developer,Developer - Sr,Developer,4 - Senior
aamantino,Developer,Developer - Mid,Developer,3 - Mid-Level
aamorim,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
aanzini,Developer,Developer - Mid,Developer,3 - Mid-Level
aaparecido,Developer,Developer - Sr,Developer,4 - Senior
aaristimunho,Developer,Developer - Jr,Developer,2 - Junior
aaronj,Tester,QA - Mid,QA,3 - Mid-Level
aaronk,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
aarruda,Tester,QA - Mid,QA,3 - Mid-Level
aaugusto,Developer,Developer - Sr,Developer,4 - Senior
aavelino,Developer,Developer - Mid,Developer,3 - Mid-Level
abambirra,Developer,Developer - Jr,Developer,2 - Junior
abaroni,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
abarreto,Developer,Developer - Sr,Developer,4 - Senior
abataglia,Developer,Developer - Sr,Developer,4 - Senior
abdalla,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
abdelrahmanw,Developer Master,Developer - Master,Developer,5 - Master / Manager
abenatti,Developer,Developer - Sr,Developer,4 - Senior
abertolini,Tester,QA - Mid,QA,3 - Mid-Level
abias,Developer,Developer - Mid,Developer,3 - Mid-Level
abizetto,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
abramides,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
absouza,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
acacios,Tester,QA - Sr,QA,4 - Senior
acamargo,Developer,Developer - Sr,Developer,4 - Senior
acapistrano,Developer,Developer - Mid,Developer,3 - Mid-Level
acardinalli,Developer,Intern,Intern,1 - Intern
acarneiro,Tester,QA - Sr,QA,4 - Senior
acassoli,Product Owner,Business Analyst - Sr,Business Analyst,4 - Senior
acastro,Scrum Master,Scrum Master,Scrum Master,4 - Senior
acferreira,Developer,Developer - Sr,Developer,4 - Senior
achiles,Developer,Developer - Sr,Developer,4 - Senior
acmon,Developer,Developer - Mid,Developer,3 - Mid-Level
acoladello,Developer,Developer - Mid,Developer,3 - Mid-Level
acporto,Product Development Manager,Product Manager,Product Manager,5 - Master / Manager
acustodio,Developer,Intern,Intern,1 - Intern
adairs,Developer,Developer - Mid,Developer,3 - Mid-Level
adao,Developer,Developer - Mid,Developer,3 - Mid-Level
adefavari,Developer Master,Developer - Master,Developer,6 - Master 2 / Senior Manager
adeiltonm,Developer,Developer - Mid,Developer,3 - Mid-Level
adeline,Support Master,Scrum Master,Scrum Master,4 - Senior
adelmo,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
ademirj,Developer,Developer - Jr,Developer,2 - Junior
adenilsonj,Developer,Developer - Sr,Developer,4 - Senior
adias,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
adiliosantos,Developer,Developer - Mid,Developer,3 - Mid-Level
adiltonc,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
