Track,Role Name,Level
Track 1: Artificial Intelligence,AI Specialist (Senior),L4
Track 1: Artificial Intelligence,AI Specialist (Master),L5
Track 2: Business Intelligence,BI Analyst (Junior),L2
Track 2: Business Intelligence,BI Analyst (Mid),L3
Track 2: Business Intelligence,BI Analyst (Senior),L4
Track 2: Business Intelligence,BI Architect (Master),L5
Track 3: Data Analysis,Data Analyst (Junior),L2
Track 3: Data Analysis,Data Analyst (Mid),L3
Track 3: Data Analysis,Data Analyst (Senior),L4
Track 3: Data Analysis,Data Analyst (Master),L5
Track 3: Data Analysis,Data Analytics Manager,L5
Track 3: Data Analysis,Data Analytics Director,L6
Track 3: Data Analysis,Senior Data Analytics Manager,L6
Track 4: Data Architecture,Data Architect (Master),L5
Track 4: Data Architecture,Principal Data Architect (Expert),L6
Track 5: Data Development,Data Developer (Junior),L2
Track 5: Data Development,Data Developer (Mid),L3
Track 5: Data Development,Data Developer (Senior),L4
Track 5: Data Development,Data Developer (Master),L5
Track 6: Data Science,Data Scientist (Junior),L2
Track 6: Data Science,Data Scientist (Mid),L3
Track 6: Data Science,Data Scientist (Senior),L4
Track 6: Data Science,Data Scientist (Master),L5
Track 6: Data Science,Principal Data Scientist,L6
Track 7: Machine Learning,ML Specialist (Mid),L3
Track 7: Machine Learning,ML Specialist (Senior),L4
Track 7: Machine Learning,ML Specialist (Master),L5
Track 8: Customer Success,Customer Service (Junior),L2
Track 8: Customer Success,Customer Service (Mid),L3
Track 8: Customer Success,CX Manager (Senior),L4
Track 8: Customer Success,CX Manager (Master),L5
Track 9: Management,Team Manager (Mid),L3
Track 9: Management,Team Manager (Senior),L4
Track 9: Management,Project Manager (Master),L5
Track 9: Management,Program Manager (Expert),L6
Track 9: Management,Executive Manager,L7
Track 9: Management,Executive Director,L8
Track 10: Content & Communications,Copywriter (Mid),L3
Track 10: Content & Communications,Copywriter (Senior),L4
Track 10: Content & Communications,Content Lead (Master),L5
Track 11: Digital Strategy,Digital Strategist (Senior),L4
Track 11: Digital Strategy,Digital Strategist (Master),L5
Track 11: Digital Strategy,Digital Strategist (Expert),L6
Track 12: UI Design,UI Designer (Junior),L2
Track 12: UI Design,UI Designer (Mid),L3
Track 12: UI Design,UI Designer (Senior),L4
Track 12: UI Design,UI Designer (Master),L5
Track 12: UI Design,UI Design Manager,L5
Track 12: UI Design,Senior UI Design Manager,L6
Track 13: UX Design,UX Designer (Mid),L3
Track 13: UX Design,UX Designer (Senior),L4
Track 13: UX Design,UX Designer (Master),L5
Track 13: UX Design,UX Manager,L5
